Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),6890.46,919.00,29826.00,156399606.00,923.00,1004.85,1746.70,3219.00,6278.00,7268.75,13506.20,18495.15,26597.03,5096.11
Usage Total Tokens (tokens),7061.61,922.00,30029.00,160284525.00,1036.97,1402.00,2140.10,3274.00,6323.00,7322.75,13862.60,18866.15,27039.27,5150.76

Metric,Value
Benchmark Duration (sec),45.03
Input Token Throughput (tokens/sec),3467932.94
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86142.41
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),4.32
Replay Schedule Lag p90 (ms),10.25
Replay Schedule Lag p99 (ms),27.37
Request Count,22698.00
Request Throughput (requests/sec),503.30
Total Input Sequence Length (tokens),156399606.00
Total Output Sequence Length (tokens),3884919.00
Total Output Tokens (tokens),3884919.00
Total Token Throughput (tokens/sec),3554075.35
Total Usage Completion Tokens (tokens),3884919.00
Total Usage Prompt Tokens (tokens),156399606.00
Total Usage Total Tokens (tokens),160284525.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
